iter	Passed	Remaining
0	2	228
1	5	245
2	7	228
3	9	230
4	11	222
5	13	217
6	16	224
7	18	215
8	20	208
9	22	205
10	24	201
11	26	196
12	29	196
13	31	192
14	33	191
15	35	187
16	37	183
17	39	181
18	42	179
19	44	177
20	46	174
21	48	173
22	50	170
23	53	168
24	55	166
25	58	165
26	60	163
27	62	161
28	64	158
29	66	155
30	69	153
31	71	151
32	73	149
33	75	147
34	77	144
35	79	141
36	81	138
37	83	136
38	85	134
39	87	131
40	90	129
41	92	127
42	94	125
43	96	122
44	98	120
45	100	118
46	103	116
47	105	113
48	107	111
49	109	109
50	111	106
51	113	104
52	115	102
53	117	100
54	119	97
55	122	96
56	124	94
57	127	92
58	130	90
59	132	88
60	134	86
61	137	83
62	138	81
63	140	79
64	142	76
65	144	74
66	146	72
67	149	70
68	152	68
69	154	66
70	157	64
71	159	61
72	161	59
73	163	57
74	165	55
75	167	52
76	169	50
77	171	48
78	172	45
79	174	43
80	176	41
81	178	39
82	181	37
83	183	34
84	186	32
85	189	30
86	191	28
87	194	26
88	196	24
89	198	22
90	200	19
91	202	17
92	204	15
93	207	13
94	209	11
95	212	8
96	214	6
97	216	4
98	218	2
99	220	0
